pronounciation	Yiddish	comment
(ə)	א	o
ɑ	א
ɑ	אַ
ɑ	אָ	o	
æ	א	
æ	ע
æ	אַ		
aɪ	יי	
aʊ	או	
b	ב	
ɔ	א	
ɔ	אָ	
d	ד	
d͡ʒ	דזש	
d͡ʒ	דש	
d͡ʒ	זש	
ə	א	a, o, ou
ə	אַ	a
ə	אָ	o
ə	ע	
ə	עי	ai, a, e
ɚ	ער	
ɚ	אר	or
ɚ	אָר	or
eɪ	יי	
eɪ	ע	
eɪ	עי	
əl	ל	in the word final position
ən	נ	in the word final position
ɛ	א	a
ɛ	ע	
ɛ	עי	ai
ɝ	ער
ɝ	ור	our, ur
ɝ	אר	or
ɝ	אָר	or	
ɛə	א	a
f	פ
f	פֿ	
g	ג
h	ה		
i	י
i	ע	e	
ɪ	י	
ɪ	ע	e
iː	י	
j	י	
jʊ	ו	
k	ק	
l	ל	
m	מ	
n	נ	
ŋ	נג	
o	א	
oʊ	א	
oʊ	אָ	
oʊ	או
oʊ	אָו		
p	פ
p	פּ		
r	ר	
s	ס	
ʃ	ש	
t	ט
t͡ʃ	טש
uː	ו
ʊ	ו	
v	וו	
ʌ	ו	
w	וו	
wʊ	וואו	
z	ז
z	ס	-s in the word final position
ʒ	זש		
θ	ט	
jə	ו	u
jə	יו	u
